Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
9442800	1.5	7740.0	834946.2790388587	-108.7985561976923	162.93998497959103	1220.0	0.05083911772817373	-0.6443365439772606	-0.015535683901369168	162.93792343139648	-1.4551915228366852e-09	-465525886.0	161.43792343139648	0.004280822584405541	-0.0007530831207986921	0.00014896632001182297	0.0	17.036904335021973	0.0	0.10737418240000006	0.3801595941185951	0.8231084048748016	1.2032680064439774	1548.0	0.0	333.04063900525364	1220.0	37825.74520897865	1720.7824802398682	548.7503567960387	9743.838833808899	26361.123894929886	261.53745320123903	1163.0	9442800.0
9467200	1.5	7760.0	836955.2911571609	-160.00351920928046	100.45060591510664	1220.0	0.05083915311843157	-0.10746559221297501	-0.037386508392872386	100.4478816986084	3.026798367500305e-09	-122573988.0	98.9478816986084	0.028457139153033495	-0.0015132862608879805	9.788485112949274e-05	0.0	15.353947639465332	0.0	0.10737418240000006	0.45030907541513443	0.4962913542985916	0.9466004222631454	1552.0	0.0	333.04063900525364	1220.0	37902.02934503555	1724.2835862636566	549.0512161351857	9763.767749786377	26413.97800898552	261.6857352894775	1162.0	9467200.0
9491600	1.5	7780.0	837744.6142145862	-251.3127231859408	39.466152871268356	1220.0	0.08066644612699747	0.02675215806812048	0.03432206056981546	39.463093757629395	4.656612873077393e-10	-27376885.5	37.963093757629395	0.009910022839903831	0.0008622605528216809	7.516489995396114e-05	0.0	18.56676983833313	0.0	0.10737418240000006	1.0263369679450989	0.4054594710469246	1.4317964315414429	1556.0	0.0	333.04063900525364	1220.0	37981.37804389	1727.736093044281	549.366308790583	9784.118335723877	26469.52361512184	261.81093786023285	1161.0	9491600.0
9516000	1.5	7800.0	839738.2229532372	-159.9695878101051	99.68043693255392	1220.0	0.05083915311843157	-0.10746559221297501	-0.0377086782641709	99.67418670654297	-1.8626451492309574e-09	-20757045.9375	98.17418670654297	0.03194857784546912	-0.006080990802729502	0.0011822326450783294	0.0	5.8582229018211365	0.0	0.10737418240000006	0.4575434550642967	0.4808700308203697	0.9384134858846664	1560.0	0.0	333.04063900525364	1220.0	38055.82329297066	1731.269639968872	549.6544143274583	9803.973483800888	26520.580169200897	261.9715603639253	1160.0	9516000.0
9540400	1.5	7820.0	840532.2962159404	-248.54111803997966	39.70366313515569	1220.0	0.05083911772817373	0.4294053949415684	-0.04541063396046385	39.700257301330566	1.7229467630386353e-08	-8502559.3125	38.200257301330566	0.04624221008270979	-0.0033371144672855735	0.0002415379240119364	0.0	10.31409764289856	0.0	0.10737418240000006	1.0602684319019318	0.3752976134419441	1.4355660378932953	1564.0	0.0	333.04063900525364	1220.0	38135.63822007179	1734.6645612716675	549.9852947365233	9825.963901758194	26575.00975704193	262.09189043748444	1159.0	9540400.0
9564800	1.5	7840.0	842625.6002632466	-394.2329350886325	104.66520236530994	1220.0	0.08066641818732023	0.5636231154203415	0.028141698331617837	104.6591911315918	-8.149072527885437e-10	-47801520.5	103.1591911315918	0.006768081628251821	0.00143461195693817	0.00030413607964874245	0.0	9.118449687957764	0.0	0.10737418240000006	3.0101104378700256	0.32183489948511124	3.3319453597068787	1568.0	0.0	333.04063900525364	1220.0	38215.957017183304	1738.0066220760345	550.3316200587847	9845.964260578156	26631.986134529114	262.20771442473676	1158.0	9564800.0
9589200	1.5	7860.0	843423.8439296751	-250.32855239720774	39.912183321427264	1220.0	0.05083911772817373	0.4294053949415684	-0.04099778631060827	39.91092586517334	2.3283064365386963e-09	-74142293.0	38.41092586517334	0.029503236524760723	-0.0007746006740489975	2.3268843278856366e-05	0.0	31.140238761901855	0.0	0.10737418240000006	1.0055598765611649	0.3177741542458534	1.3233340382575989	1572.0	0.0	333.04063900525364	1220.0	38291.50168180466	1741.399276971817	550.6606168273488	9866.14145565033	26683.96094918251	262.35767806582305	1157.0	9589200.0
9613600	1.5	7880.0	845811.3894427937	-404.9161906305884	119.37727565593275	1220.0	0.08066641818732023	0.5636231154203415	0.03138886584793443	119.36781692504883	-4.0745362639427185e-10	-27291070.0	117.86781692504883	0.008455113624222577	0.0025735652452567592	0.0007837288285372779	0.0	5.957202136516571	0.0	0.10737418240000006	3.234162986278534	0.3014860823750496	3.535649061203003	1576.0	0.0	333.04063900525364	1220.0	38371.31106495857	1744.8371686935425	550.9740491829529	9886.372783660889	26740.10111260414	262.4768091852911	1156.0	9613600.0
9638000	1.5	7900.0	846613.3734923709	-248.69821337981844	40.09920247886283	1220.0	0.008252553641796112	0.29518770426511765	-0.01340305446295953	40.09918785095215	8.381903171539307e-09	-34345380.5	38.59918785095215	0.02278558537364006	0.00043018396536353976	5.48458774574101e-05	0.0	20.86682677268982	0.0	0.10737418240000006	1.0286985486745834	0.29565536230802536	1.3243539333343506	1580.0	0.0	333.04063900525364	1220.0	38446.683680057526	1748.2157428264618	551.3049541824613	9906.425055742264	26792.0428814888	262.6267673213171	1155.0	9638000.0
9662400	1.5	7920.0	847391.2319849707	-252.80586090563625	38.89292462998856	1220.0	0.08066644612699747	0.02675215806812048	0.033510957851273115	38.89244747161865	-3.4924596548080444e-10	-2529647168.0	37.39244747161865	0.009564920968841761	0.00019155047448293772	5.086895868089414e-06	0.0	164.40230751037598	0.0	0.10737418240000006	1.0092940628528595	0.2878822684288025	1.297176331281662	1584.0	0.0	333.04063900525364	1220.0	38522.70138001442	1751.7580568790436	551.5830203866547	9926.317715644836	26844.62560749054	262.7726984072409	1154.0	9662400.0
9686800	1.5	7940.0	849357.877977792	-162.20747088426612	98.3322996410659	1220.0	0.05083915311843157	-0.10746559221297501	-0.031097544894599594	98.33090591430664	-4.423782229423523e-09	-551878985.0	96.83090591430664	0.01855322765186429	-0.0010588148252281826	6.559015810125857e-05	0.0	28.864678859710693	0.0	0.10737418240000006	0.5813899487257004	0.5292574167251587	1.110647365450859	1588.0	0.0	333.04063900525364	1220.0	38599.07156205177	1755.1061480045319	551.9210340077384	9948.569970607758	26895.395443439484	262.9141540857809	1153.0	9686800.0
9711200	1.5	7960.0	850165.2293108889	-246.15109240089458	40.36756665484157	1220.0	0.05083911772817373	0.4294053949415684	-0.04633371059156832	40.357224464416504	-7.450580596923828e-09	-1510232.94140625	38.857224464416504	0.04699771152809262	-0.013011980976443738	0.0037754518634756096	0.0	3.800259828567505	0.0	0.10737418240000006	0.9120192229747772	0.3162694051861763	1.228288620710373	1592.0	0.0	333.04063900525364	1220.0	38676.68144583702	1758.501757144928	552.2428374349157	9968.45061659813	26949.729072093964	263.0465554338939	1152.0	9711200.0
9735600	1.5	7980.0	852601.5513706192	-405.5283490946116	121.81610298651256	1220.0	0.08066641818732023	0.5636231154203415	0.03088887280005892	121.81039619445801	-1.0477378964424133e-09	-62843243.0	120.31039619445801	0.008107634959742427	0.001474244039854966	0.00026991820050170645	0.0	9.135839223861694	0.0	0.10737418240000006	3.211661696434021	0.31426936388015747	3.5259310603141785	1596.0	0.0	333.04063900525364	1220.0	38761.639364004135	1761.8807621002197	552.5686079002784	9988.810381650925	27010.94822025299	263.12604103041446	1151.0	9735600.0
