Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
7088200	1.5	5810.0	473197.02823435294	-315.3336191470049	36.37267657929281	1220.0	0.020328576203938367	48.191836652399914	-32327886871582.215	0.010676080745751717	1290791204602.124	3750670780033.258	-580934101764.1973	8.536737247495116e+24	7.764842592680165e+24	1.6301579843010336e+25	708820.0	-324.6116105818601	36.84981948805321	1220.0	22085.031060934067	4580.066707134247	619.0477522049101	6700.806528091431	10804.15782570839	404.92513190758694	388.0	7088200.0
7094300	1.5	5815.0	473384.2244810398	-320.28339593225763	37.439249337366654	1220.0	0.020255300977077246	48.36979219077967	-32474698887772.312	-0.08324664771312573	1293632985443.8845	3758427085531.9126	-581656735327.6853	8.625956417390445e+24	7.858699446028815e+24	1.6484655841683874e+25	709430.0	-322.166672931635	37.047994854557125	1220.0	22103.792366743088	4583.950585126877	619.0555389508974	6706.495193004608	10813.346588611603	404.92945589520895	387.0	7094300.0
7100400	1.5	5820.0	473571.901009658	-326.9356116769784	37.53530572363606	1220.0	0.02028580219377447	48.29556102577452	-32547217351918.38	0.010298976741853306	1298172567471.425	3767094659441.314	-583827868876.8003	8.644555313082142e+24	7.854426332420541e+24	1.6498981617152144e+25	710040.0	-325.6601879899306	38.72322439248091	1220.0	22122.616505861282	4587.839157342911	619.0626790946404	6712.206120729446	10822.571227788925	404.9324299290267	386.0	7100400.0
7106500	1.5	5825.0	473751.82903297833	-331.1600801386011	35.98560466406998	1220.0	0.02031458634691655	48.225713136501305	-32615697220443.484	0.012489387844918239	1297335559728.6824	3774015408873.3403	-585906806595.9862	8.703941219629287e+24	7.901081218545223e+24	1.6605022440064535e+25	710650.0	-325.1602117339496	37.3910632570068	1220.0	22141.59440112114	4591.87850522995	619.049479807099	6717.891238451004	10831.824657440186	404.93533013054656	385.0	7106500.0
7112600	1.5	5830.0	473926.502351069	-315.18368703204527	34.934663618140455	1220.0	0.020329383412900043	48.189883416013906	-32583643115049.934	-0.022501631594095083	1299478869055.7908	3775502048554.8057	-585651767235.5667	8.663325156792382e+24	7.872188583216896e+24	1.6535513730559105e+25	711260.0	-330.27525382376336	40.52781538324052	1220.0	22160.55634379387	4595.761178016663	619.057407423377	6723.636046409607	10841.1591193676	404.93498118657294	384.0	7112600.0
7118700	1.5	5835.0	474124.5380512799	-329.3960192564419	39.607140042178955	1220.0	0.020036141813868206	48.909808449640764	-33163823471592.47	-0.19531208618742527	1314307241023.7886	3804246530081.576	-588252662021.8765	8.883120745249739e+24	8.083986503564562e+24	1.6967107244089204e+25	711870.0	-322.2766135829992	38.408252463145416	1220.0	22179.431113004684	4599.671261072159	619.0616325342058	6729.402212381363	10850.357639551163	404.9372721788033	383.0	7118700.0
7124800	1.5	5840.0	474322.5699720502	-326.1515943636458	39.60638415405421	1220.0	0.02021771396562929	48.46157620490771	-32971692203521.66	0.07658142998326013	1315087552391.1343	3799828089953.366	-589788430174.8463	8.877469056937906e+24	8.070893678418607e+24	1.6948362724961318e+25	712480.0	-337.2888462131913	41.826464471188494	1220.0	22198.21205306053	4603.549353122711	619.0701524828495	6735.084425210953	10859.578274726868	404.9409824733485	382.0	7124800.0
7130900	1.5	5845.0	474503.6707470526	-324.0448805157772	36.22015500048075	1220.0	0.02028001639749832	48.309624824729276	-32883478437216.54	-0.0035045940612183375	1311473241991.1333	3799231071604.669	-589829017908.8785	8.83264023215342e+24	8.033268877985557e+24	1.6865909109193964e+25	713090.0	-338.37129081493276	41.176737228315304	1220.0	22217.360321760178	4607.488636493683	619.0704362041915	6740.812269449234	10869.05941581726	404.93764676128507	381.0	7130900.0
7137000	1.5	5850.0	474691.7781608043	-323.22178549713146	37.62148275033853	1220.0	0.020186570449646286	48.537884728583116	-33086363591327.473	-0.06255611664936189	1316272807909.14	3808604055679.5796	-591017527450.439	8.898813709849197e+24	8.096054063966991e+24	1.6994867762475988e+25	713700.0	-326.2724399890791	33.98693764011091	1220.0	22236.29186487198	4611.35399055481	619.0806443936715	6746.547443389893	10878.390430927277	404.93759756168805	380.0	7137000.0
7143100	1.5	5855.0	474898.28369758104	-327.0834862887106	41.30110735534196	1220.0	0.020012168920418724	48.96959619802552	-33508964132239.543	-0.12846686567683682	1329251637496.4465	3833001939575.1865	-593880347819.2269	9.046274337815112e+24	8.237185215243781e+24	1.7283459524708362e+25	714310.0	-323.0339798366979	38.463429152568	1220.0	22255.159670829773	4615.261883497238	619.0851293220466	6752.268838405609	10887.628948926926	404.93998809503097	379.0	7143100.0
7149200	1.5	5860.0	475087.16198472417	-320.44661221578446	37.77565742862524	1220.0	0.02022510580382248	48.44349906990366	-33180362131395.574	0.09665791187130038	1326419831663.6328	3820096359252.77	-593814482097.9403	8.946489752725784e+24	8.145389802555661e+24	1.70918795694567e+25	714920.0	-323.3310157164806	35.998299047442714	1220.0	22273.911454916	4619.155128479004	619.0915698779824	6757.94263625145	10896.813690185547	404.94469976311586	378.0	7149200.0
7155300	1.5	5865.0	475301.3976560112	-332.8082370693099	42.84713425740867	1220.0	0.01991044514275037	49.22489416134987	-33848573808895.18	-0.17902445258175742	1337417522797.1147	3852673965784.553	-597231726820.3024	9.144574377704308e+24	8.32608541711964e+24	1.747065975607823e+25	715530.0	-320.4347383920293	36.22276453824	1220.0	22294.066190958023	4623.039541482925	619.0991823275476	6763.77031826973	10907.256331205368	404.917051053881	377.0	7155300.0
7161400	1.5	5870.0	475495.75167647586	-330.4825447222312	38.87080409293339	1220.0	0.020186680212291516	48.53761537229423	-33447709340843.26	0.12578854221300997	1335608660867.7788	3840268132486.297	-597675924134.19	9.017263362654474e+24	8.199950893259034e+24	1.721721425780355e+25	716140.0	-308.2883503404754	36.62103191630004	1220.0	22312.877336740494	4626.911807537079	619.1084073255365	6769.455693483353	10916.509835720062	404.9199342933783	376.0	7161400.0
7167500	1.5	5875.0	475676.5328635703	-321.7760636968079	36.15623741889394	1220.0	0.0202350441385399	48.41921515730171	-33352050640244.664	0.006635490963693539	1329602679468.9055	3836717594415.842	-597244087876.8269	8.990834120839043e+24	8.187274121573429e+24	1.7178108271708025e+25	716750.0	-311.96934199165867	36.5049506978092	1220.0	22331.75017786026	4630.819633483887	619.1128627143444	6775.171150445938	10925.759393930435	404.9222147971837	375.0	7167500.0
7173600	1.5	5880.0	475862.98737521004	-319.9617966009456	37.290902327949304	1220.0	0.02015831926885227	48.607310344823986	-33480762594770.7	-0.05811623766041194	1333400843918.6895	3841440978494.1113	-597478895414.5571	9.148252728403917e+24	8.329887633169603e+24	1.7478140388979037e+25	717360.0	-324.35724365120825	37.96435957128879	1220.0	22350.83545088768	4634.904223203659	619.0936989883762	6780.886533498764	10935.044694185257	404.92367619886016	374.0	7173600.0
7179700	1.5	5885.0	476064.7795951409	-323.78476205762814	40.35844398617325	1220.0	0.020010643931793037	48.97340432464513	-33836382754903.3	-0.1084699082325716	1345435003222.4514	3862125921813.8228	-599804200684.6959	9.244308190776638e+24	8.426565696780251e+24	1.7670873889446935e+25	717970.0	-321.30831086375986	38.42254969772678	1220.0	22369.917282819748	4638.81888127327	619.0972472742291	6786.645479440689	10944.45292210579	404.9213329826086	373.0	7179700.0
7185800	1.5	5890.0	476254.6518011487	-331.0074613893	37.97444120156602	1220.0	0.020175247347102108	48.565687240193164	-33675218291111.016	0.05772349632910042	1344676539193.9158	3861187109804.0703	-601505428006.61	9.224583883043464e+24	8.40381669286463e+24	1.7628400593863426e+25	718580.0	-324.57057006751904	41.834886343591364	1220.0	22388.837116003036	4642.723717451096	619.1020993120892	6792.319458246231	10953.79394030571	404.9224660418518	372.0	7185800.0
7191900	1.5	5895.0	476435.97628673876	-319.3590974943933	36.26489711800699	1220.0	0.02020300280890727	48.497592484574206	-33655389942418.043	-0.0015943951171929435	1341558703100.6426	3861050694363.906	-601935145087.5808	9.176777048782334e+24	8.364273595480967e+24	1.7541050658438568e+25	719190.0	-338.3064748496781	37.32677067799849	1220.0	22407.95587491989	4646.827934503555	619.0803792495792	6797.992289066315	10963.135651350021	404.9236075617963	371.0	7191900.0
7198000	1.5	5900.0	476620.85065933276	-319.9817113664287	36.97487451880323	1220.0	0.02015242222807072	48.62182653195305	-33714504923679.863	-0.03926516255882914	1346040940913.3113	3863099494117.9785	-601578109364.4585	9.243469434711925e+24	8.432104608578548e+24	1.7675574046125526e+25	719800.0	-313.1108733589917	37.12626225879783	1220.0	22427.1274497509	4650.789333581924	619.0777077796621	6803.692973852158	10972.645142316818	404.9202908361005	370.0	7198000.0
7204100	1.5	5905.0	476788.76570928213	-320.82221296374746	33.5830099898711	1220.0	0.020244030831383274	48.39727707042175	-33592196038333.68	0.02426819134442536	1345080539411.3035	3859771058625.8877	-601904113361.8357	9.25987475170839e+24	8.436878524827944e+24	1.7696753257635983e+25	720410.0	-328.4386272634996	37.05818236061576	1220.0	22446.014170885086	4654.704509735107	619.0811884993296	6809.407777786255	10981.901883363724	404.92241084034663	369.0	7204100.0
7210200	1.5	5910.0	476983.10267362674	-330.77339792512987	38.8673928689219	1220.0	0.019916899446271088	49.208618198713836	-34333550808107.652	-0.2040174818918355	1360429872943.8413	3898185361911.606	-606178116550.9241	9.559374075601593e+24	8.71603117316939e+24	1.8275405214750354e+25	721020.0	-320.0379494857927	33.20929876573586	1220.0	22464.789363861084	4658.616074800491	619.0851432468628	6815.065258741379	10991.108030319214	404.9269813873855	368.0	7210200.0
7216300	1.5	5915.0	477172.39576971345	-324.6305930217087	37.85861921734357	1220.0	0.020141830496966398	48.64792053783851	-34036191778956.992	0.07721403410933048	1362102526140.0127	3891842490018.8296	-607162378636.1697	9.433304680465784e+24	8.597443053546389e+24	1.8030747739682292e+25	721630.0	-328.4837626425457	38.40681544111672	1220.0	22483.51656985283	4662.503852844238	619.0922498088992	6820.759439706802	11000.253277301788	404.93209418523537	367.0	7216300.0
