Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
2616900	1.5	2145.0	145785.47595823114	-386.80432963929326	2.5445674196517336	1220.0	-18.309552000389715	2.5840513901632347	20.0	6954.7389368147105	0.0004812755181177873	0.00010864800701039973	0.0	-0.001616171890746642	-0.001616171890746642	0.0	0.0	-0.1504219442025806	1416.9023214504361	5.122134613502215	-17.643629979305594	0.002415843771366961	0.10007678870050637	0.06147540983485068	5.124550459619429	261690.0	-351.1847777449015	1.2013813919335588	1220.0	14316.569072008133	1536.9376108646393	681.0686345369096	2410.817316532135	10368.814144611359	204.77116323398621	199571.0	2616900.0
2623000	1.5	2150.0	145798.4851885357	-381.3123965619044	2.601846060911531	1220.0	-18.374094766085275	2.7647841308937715	20.0	6970.616967402906	0.0005720284881955777	0.0001335578062189895	0.0	-0.0011556634011718476	-0.0011556634011718476	0.0	0.0	-0.13177383787716251	1420.079408396267	5.178142026262208	-17.450329772761627	0.003115370090321836	0.11358146862905528	0.06147540983485068	5.181257402457178	262300.0	-349.80642340266553	1.034603567067391	1220.0	14349.163399934769	1540.372974872589	681.133736513901	2416.386434316635	10392.403990745544	204.78124108172898	199570.0	2623000.0
2629100	1.5	2155.0	145807.36989009258	-389.92088588124744	1.7769403113753683	1220.0	-18.182138105298666	2.404243796966114	20.0	6986.376409809703	0.0005077804060598936	0.0001460722414776685	0.0	-0.0015389288003894246	-0.0015389288003894246	0.0	0.0	-0.14210394902734966	1423.2389224232213	5.245321539679508	-17.50467150015908	0.001849512611115047	0.10019016625573407	0.06147540983485068	5.2471710486978775	262910.0	-351.9916699370706	1.0564355443072895	1220.0	14381.636214971542	1543.846838235855	681.1815615088495	2421.973875284195	10415.815501451492	204.79382570058266	199569.0	2629100.0
2635200	1.5	2160.0	145816.4423053749	-390.71280853860884	1.8144830564647751	1220.0	-18.0014401201342	2.044749777434302	20.0	7002.28772789572	0.00062948025385341	0.00016837650471076835	0.0	-0.0015142723113550334	-0.0015142723113550334	0.0	0.0	-0.12695714586002183	1426.4398088009625	5.096358164216655	-17.514883865293907	0.0011794337060027692	0.0902424598387519	0.06147540983485068	5.097537598746716	263520.0	-349.79277338075065	1.4117708409000902	1220.0	14414.450565099716	1547.2977502346039	681.2392765646939	2427.600976228714	10439.551838636398	204.8005520658476	199568.0	2635200.0
2641300	1.5	2165.0	145829.51890891226	-377.63190331334846	2.615320707472274	1220.0	-18.165858052988547	2.478882923282559	20.0	7018.158267022357	0.0004362756782581125	0.0001996205489868757	0.0	-0.0012244824033572155	-0.0012244824033572155	0.0	0.0	-0.12037404544315619	1429.654108330461	5.209799845296826	-17.55126406403837	0.0016349759137975499	0.09755864143982286	0.06147540983485068	5.211434824056308	264130.0	-350.96708026344197	1.5673909523521756	1220.0	14447.186789035797	1550.8580212593079	681.2486929926043	2433.1119475364685	10463.21682024002	204.81022526346447	199567.0	2641300.0
2647400	1.5	2170.0	145842.88617898163	-385.49920678647214	2.6734540138736222	1220.0	-18.525824016821165	2.637233705989652	20.0	7034.596171709744	0.0004152150232898075	0.00011612482017791655	0.0	-0.0008191005289354209	-0.0008191005289354209	0.0	0.0	-0.09838265250360627	1433.016836531435	5.2416936457645695	-17.571855787371017	0.002508039552991308	0.11471471214880702	0.06147540983485068	5.244201685756938	264740.0	-351.549336950391	1.5419923609618362	1220.0	14481.409040689468	1554.2820270061493	681.3177927816381	2438.984737634659	10488.14227604866	204.79415087341033	199566.0	2647400.0
2653500	1.5	2175.0	145853.09277791923	-388.7748530083896	2.041319787517161	1220.0	-18.196601379894823	2.539124546285536	20.0	7050.650521024722	0.000395144622118215	0.00012951425188908067	0.0	-0.0007305420180124268	-0.0007305420180124268	0.0	0.0	-0.09699892360014757	1436.263388992137	5.143167494945837	-17.39188120013378	0.0025888105504668943	0.10692725799611355	0.06147540983485068	5.145756298694456	265350.0	-351.21910869937767	1.4965797305511186	1220.0	14513.932535886765	1557.7384271621704	681.3724188172072	2444.49219250679	10511.701916217804	204.80551446918776	199565.0	2653500.0
2659600	1.5	2180.0	145863.9729217787	-391.91432421150836	2.1760287718973865	1220.0	-18.239105563867273	2.7580156896935155	20.0	7066.61927926071	0.0006307925892512882	0.0001680013212207402	0.0	-0.0005702164486197553	-0.0005702164486197553	0.0	0.0	-0.08364988346049775	1439.469189091196	5.3585858391933785	-17.596359406142952	0.0028988469629663014	0.09911835512421172	0.06147540983485068	5.361484687738737	265960.0	-353.10093906396264	1.0987074095606433	1220.0	14546.801803827286	1561.2012794017792	681.4239867953746	2450.0293774604797	10535.571146965027	204.81147521805988	199564.0	2659600.0
2665700	1.5	2185.0	145869.71766878077	-393.39424749931896	1.1489494004105762	1220.0	-18.011629386026364	2.2971597427227466	20.0	7082.481274475819	0.0007197270663307221	0.00020424525738220478	0.0	-0.0011262980385895302	-0.0011262980385895302	0.0	0.0	-0.10608849425907013	1442.665514116209	5.395155663373044	-17.665781397897707	0.0017351524295098324	0.08341297640419397	0.06147540983485068	5.396890803536434	266570.0	-344.4896660151187	1.1806612500457043	1220.0	14579.223915815353	1564.6196887493134	681.4946837671052	2455.5536665916443	10559.050560474396	204.82374673032564	199563.0	2665700.0
2671800	1.5	2190.0	145877.5840785274	-392.04701171923705	1.5732819493275465	1220.0	-17.98613029386178	2.059058214406497	20.0	7098.377684109723	0.0009298224294950354	0.00017290274979027572	0.0	-0.0010720824510990798	-0.0010720824510990798	0.0	0.0	-0.09192044587622653	1445.8817431727393	5.739811286379079	-17.88644477343948	0.0009951326575513813	0.07072012902038995	0.06147540983485068	5.740806416898472	267180.0	-342.32144043358915	1.3710922393314477	1220.0	14612.082818984985	1568.084775686264	681.5447841665833	2461.070508480072	10582.92753481865	204.8298375337937	199562.0	2671800.0
