Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/vf0	loss/vf1	loss/vf_total	loss/kl	loss/step_size	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
18129200	1.5	14860.0	4833714.0289628655	-3.394601283923444	332.9224382625822	1220.0	0.007253908121925346	136.85672263720073	-0.183700360095159	-0.00027608482075042184	-0.0013345482175920187	1.8714131897468178e-06	0.019956152886152267	0.01995802391320467	0.0006452268571592867	1.4351740777492523	-7.069700837135315	59440.0	-3.3968854870077543	332.9222383067003	1220.0	38616.64372801781	4155.3205189704895	436.2888474483225	22996.401281118393	11464.921927928925	526.0738216587239	807.0	18129200.0
18153600	1.5	14880.0	4840372.472817122	-3.3973404715455144	332.92219271283295	1220.0	0.0072451996527121065	137.02242145606968	-0.15539780220902344	-0.00020450468933352894	-0.0011273698096664342	4.7906150371090916e-05	0.01957144821062684	0.019619354512542486	0.0009748894663061947	2.8090385794639587	-7.062728643417358	59520.0	-3.3952756847616605	332.9223656696747	1220.0	38655.52298808098	4159.188094139099	436.4698010551882	23018.83266234398	11477.5022315979	526.2472101982078	806.0	18153600.0
18178000	1.5	14900.0	4847030.9194404585	-3.395688951261498	332.9223311668459	1220.0	0.007236510333700847	137.18815338975503	-0.2823775608617751	-0.0001293715726289335	-0.0020443644711232167	1.5135480850858585e-06	0.019981199875473976	0.019982713740319014	0.0009776299120858312	1.4532741010189056	-7.056765675544739	59600.0	-3.393530099637963	332.92250573807	1220.0	38696.37079286575	4163.011693954468	436.6550309334495	23044.522703409195	11488.83639550209	526.3895686467723	805.0	18178000.0
18202400	1.5	14920.0	4853689.369765164	-3.3933644049561593	332.9225162353018	1220.0	0.007227842185476042	137.3538785627398	-0.09583894187858988	-0.001089820368807115	-0.000700585805924081	1.534728170327071e-06	0.02079127635806799	0.020792811177670956	0.0008881246903911233	3.7236355543136597	-7.059708476066589	59680.0	-3.3867831717408277	332.9230260049727	1220.0	38733.152175188065	4166.976012945175	436.8251687423258	23066.191452264786	11499.984709978104	526.595707739369	804.0	18202400.0
18226800	1.5	14940.0	4860347.830430689	-3.387098274890241	332.92303327626354	1220.0	0.0072191924127028295	137.51964912867658	-0.4019033116444213	-0.0005363212552849106	-0.0029052892324729213	8.823596868978711e-05	0.019638776313513517	0.019727012142539024	0.0009721038368297741	1.0578092634677887	-7.065728425979614	59760.0	-3.388588673042911	332.9228976751382	1220.0	38776.456813097	4171.965570926666	436.8875938722455	23090.335861444473	11514.15538072586	526.7177567340779	803.0	18226800.0
18251200	1.5	14960.0	4867006.289997823	-3.3880854676799546	332.922978356663	1220.0	0.007210569220579288	137.6853061677787	-0.07561483936231639	-0.0010005586151295986	-0.000552440623784678	1.6640952935631503e-06	0.019589988980442286	0.019591652788221836	0.0008610017976025119	4.8420668840408325	-7.064201593399048	59840.0	-3.387958230741478	332.9229595548588	1220.0	38821.62986421585	4176.046531915665	437.04493856843317	23117.25092625618	11528.332406044006	526.7973070317552	802.0	18251200.0
18275600	1.5	14980.0	4873664.750596877	-3.387338340909936	332.92302995274275	1220.0	0.007201963377364829	137.85102542216706	-0.15867836767410637	0.00023234485528611515	-0.0011411224933903785	0.00022173598773633785	0.01989424740895629	0.020115983206778765	0.0009728813456604257	2.6235494315624237	-7.05768609046936	59920.0	-3.3882675569133536	332.92294238211576	1220.0	38860.24440908432	4179.8805639743805	437.22780400746433	23140.753556489944	11539.610288619995	526.9725566208824	801.0	18275600.0
18300000	1.5	15000.0	4880323.208948405	-3.3884342098471096	332.9229175764316	1220.0	0.007193379012986182	138.01672610253172	-0.1308030995286913	0.00018744608575571586	-0.0009395678984096545	0.00013102556923172415	0.020478243473917246	0.02060926938429475	0.0006423933373298496	2.069000780582428	-7.052680015563965	60000.0	-3.390989724882103	332.9227337461348	1220.0	38898.25607395172	4183.8260588645935	437.3986810762934	23162.694210767746	11551.735804319382	527.1583025285651	800.0	18300000.0
18324400	1.5	15020.0	4886981.663331035	-3.3911448925253334	332.92271913147135	1220.0	0.007184815049397591	138.18242753984944	-0.19486893782728032	-0.00045619784105710437	-0.0014033750045061993	5.690915389777728e-05	0.019670884124934673	0.019727793522179127	0.000979858305072412	2.069566071033478	-7.049560308456421	60080.0	-3.392086068876244	332.92265446906805	1220.0	38934.94532704353	4187.63872885704	437.5831151270635	23184.3825237751	11562.924074411392	527.3617380449389	799.0	18324400.0
18348800	1.5	15040.0	4893640.116772248	-3.3917967835979232	332.92267206068914	1220.0	0.007176271064376072	138.3481365223407	-0.11180998353928828	-0.00031781679227194104	-0.0008046595423991665	3.241023875943938e-06	0.020458604209125042	0.020461845211684704	0.0009883334132609889	4.582881510257721	-7.048628449440002	60160.0	-3.39270272740489	332.9226016940017	1220.0	38973.07120728493	4191.640053510666	437.7475108968898	23206.247175693512	11575.18397808075	527.5458597110919	798.0	18348800.0
