Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/nu_loss	loss/nu_value	loss/actor_loss	loss/kl	loss/entropy	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
32427600	1.5	26580.0	8650005.584505247	-2.0235587567608873	332.98999441452435	1220.0	-331.48999441452435	2.0	0.051598137759781906	0.4008391164094606	-4.233302623667616	0.012609435859671298	0.6711298246332938	0.6837392588879202	148097.0	-2.9258940892976875	332.9555914335785	1220.0	35945.03016901016	4726.859345197678	686.028452125306	27586.017043590546	3632.153780221939	1038.7411928460906	221.0	32427600.0
32452000	1.5	26600.0	8656664.699728673	-2.8846376972364762	332.95576117131685	1220.0	-331.45576117131685	2.0	-0.07205601355576138	0.6719308221177693	-4.233906928529133	0.015106968363707366	0.6715898355270954	0.6866968058525247	148144.0	-2.044618618134694	332.9917123697687	1220.0	35970.39965105057	4730.4331641197205	686.0259700136562	27606.307993888855	3633.658493041992	1038.797529234745	220.0	32452000.0
32476400	1.5	26620.0	8663324.637849124	-1.7708528145036078	332.99690602255237	1220.0	-331.49690602255237	2.0	0.08175816315602748	0.27700585324163646	-4.233549554297265	0.012706933622347547	0.6796702514303491	0.6923771842997125	148191.0	-2.2976160349271	332.9820291472869	1220.0	35996.61723399162	4733.892252206802	686.0401181471854	27627.554450035095	3635.1705317497253	1038.8217923716606	219.0	32476400.0
32500800	1.5	26640.0	8669984.293807779	-2.2442066029772363	332.982797932682	1220.0	-331.482797932682	2.0	-0.03633813564962845	0.661847846007886	-4.23447567351321	0.011853043624061218	0.6668982372639026	0.6787512822354095	148238.0	-3.1295675345337965	332.94081926333524	1220.0	36021.84017300606	4737.345457077026	686.055097616909	27647.78319811821	3636.7115178108215	1038.878853410142	218.0	32500800.0
32525200	1.5	26660.0	8676643.11342887	-3.1200221758094373	332.94098105456874	1220.0	-331.44098105456874	2.0	-0.12569932490983543	0.6312798935365169	-4.23790315871543	0.016080088953071454	0.6579223306889231	0.6740024197608867	148285.0	-2.5857503061049796	332.97041839102803	1220.0	36047.47530603409	4740.863392829895	686.0606877893017	27668.288419246674	3638.3234939575195	1038.9243042388066	217.0	32525200.0
32549600	1.5	26680.0	8683302.512342526	-2.5859889375627074	332.96994568277233	1220.0	-331.46994568277233	2.0	-0.02012071386970422	2.893274133873034	-4.240554566078997	0.015038630528811449	0.6723233366266209	0.6873619670563555	148332.0	-1.8890337750213824	332.99742921009374	1220.0	36072.81996798515	4744.405461072922	686.0627799850623	27688.55521130562	3639.859295606613	1038.980124347446	216.0	32549600.0
32574000	1.5	26700.0	8689962.676450655	-1.3374721721164653	333.00820540649073	1220.0	-331.50820540649073	2.0	0.1091966247780526	0.8869405435398221	-4.239161998667615	0.012214248108261442	0.6694491664145856	0.6816634168016149	148379.0	-2.7766339157132314	332.9624018271602	1220.0	36098.02955389023	4747.860779047012	686.0774044545223	27708.782392024994	3641.386382818222	1039.0374684725411	215.0	32574000.0
32598400	1.5	26720.0	8696621.941230375	-2.735028572808787	332.96323898598587	1220.0	-331.46323898598587	2.0	-0.09436606716840192	0.4201738352619825	-4.238991361983278	0.01362617131560407	0.6650452398239295	0.6786714120114106	148426.0	-2.255772484549895	332.9836292763563	1220.0	36123.6461288929	4751.331479072571	686.0897864857662	27729.345927000046	3642.968722820282	1039.081762498729	214.0	32598400.0
32622800	1.5	26740.0	8703281.635367567	-2.1914872548206796	332.9847068596121	1220.0	-331.4847068596121	2.0	-0.00748367442135164	0.6582912165087035	-4.2373596353733785	0.012327071100948975	0.6605057342255369	0.6728328092301145	148473.0	-3.069950568492087	332.9451712009857	1220.0	36148.87196803093	4754.80842089653	686.1012497712557	27749.479130983353	3644.5844161510468	1039.1391337735174	213.0	32622800.0
32647200	1.5	26760.0	8709940.522628816	-3.065354612319042	332.94436306249054	1220.0	-331.44436306249054	2.0	-0.07431697655231395	0.5217722361025577	-4.237216005934045	0.016015193960134018	0.6720374492888753	0.688052643486794	148520.0	-3.320953897245384	332.9261666893877	1220.0	36174.092478990555	4758.232877731323	686.1202643693608	27769.730931043625	3646.1286702156067	1039.194865726081	212.0	32647200.0
32671600	1.5	26780.0	8716599.03086913	-3.322330708731908	332.92541201570793	1220.0	-331.42541201570793	2.0	-0.06569571243698134	0.6051613155831681	-4.241051897089532	0.01867834373595233	0.6620819923725534	0.6807603392195195	148567.0	-3.7738567928360385	332.87271707165684	1220.0	36199.643864154816	4761.733289718628	686.1283069033582	27790.246351003647	3647.664223432541	1039.2420934795516	211.0	32671600.0
32696000	1.5	26800.0	8723256.4909668	-3.7743588483786468	332.8730048834855	1220.0	-331.3730048834855	2.0	-0.07060601543436976	1.002098093393873	-4.238467997692998	0.02239319442355252	0.6709514082746303	0.6933446006571992	148614.0	-3.0736562405993926	332.94487263179474	1220.0	36224.864153146744	4765.157406568527	686.147323379711	27810.536379098892	3649.1703674793243	1039.297672523799	210.0	32696000.0
32720400	1.5	26820.0	8729915.406515425	-3.048631927284613	332.94577743120783	1220.0	-331.44577743120783	2.0	0.025306432706085923	0.39086954043979977	-4.234422521388279	0.02054225098579488	0.6753453548918376	0.6958876055605869	148661.0	-3.5978623731031276	332.90283178934783	1220.0	36250.09318304062	4768.7193775177	686.1464768562711	27830.69240117073	3650.681404352188	1039.3574372621474	209.0	32720400.0
32744800	1.5	26840.0	8736573.474576965	-3.5749762101474287	332.9034030769934	1220.0	-331.4034030769934	2.0	-0.04209125861327382	0.7682105816227006	-4.233701492877717	0.021461763974041384	0.664306917723189	0.6857686822718762	148708.0	-3.997634746466994	332.83694559172744	1220.0	36275.53957796097	4772.216779708862	686.1549152425061	27851.11365199089	3652.209146261215	1039.4078176990515	208.0	32744800.0
32769200	1.5	26860.0	8743230.221916847	-3.9993224389944837	332.8373669941093	1220.0	-331.3373669941093	2.0	-0.06748812367763132	0.9746198847870085	-4.234401763753689	0.024394258143419917	0.6605458887333568	0.6849401510776357	148755.0	-4.058150533291461	332.8289168105342	1220.0	36300.97363996506	4775.831191539764	686.1465300124011	27871.439543008804	3653.7029054164886	1039.4623927111502	207.0	32769200.0
32793600	1.5	26880.0	8749886.798413424	-4.0647166136340775	332.82882482884446	1220.0	-331.32882482884446	2.0	-0.03324343195739894	0.2055916861888576	-4.2350277089058075	0.026052757305033664	0.67400491110822	0.7000576733274664	148802.0	-3.7329288244929395	332.8804618112899	1220.0	36326.36992406845	4779.361008644104	686.1503021154597	27891.84822010994	3655.1606953144073	1039.5153495508146	206.0	32793600.0
32818000	1.5	26900.0	8756544.398506623	-3.7301732636366696	332.88000465997567	1220.0	-331.38000465997567	2.0	-0.009844962606563215	0.3278791026133014	-4.232000097315361	0.025213889321906775	0.6696746710767136	0.6948885645004027	148849.0	-4.0184115942769365	332.833989554599	1220.0	36351.63521695137	4782.841428756714	686.1611552221364	27912.188823223114	3656.6049649715424	1039.5709199466623	205.0	32818000.0
