Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
16396800	1.5	13440.0	831305.3061111476	-426.0702092029361	9.902928461147656	1220.0	0.044338916243433	21.553550801957392	-0.40276509919699194	0.08295853314128644	-0.014179876627676289	0.3195416157262677	5.556170382398239	0.01711827404598924	5.573288679122926	1.37914229707515	-0.0444435566822265	95786.0	-342.4989144060498	41.51967675991103	1220.0	24512.23113512993	3472.155752182007	472.2368802060725	20062.566979408264	977.5084035396576	779.3127972007602	878.0	16396800.0
16421200	1.5	13460.0	831582.0876871109	-331.91752794507755	13.839078798161392	1220.0	0.044852359378278715	21.29537116578719	-0.08097462197567579	0.144848547756989	0.00286489668099832	0.38354828609946245	15.434350825370622	0.02198070741476531	15.456331577706841	3.8669478081642312	-0.04713337226433955	95833.0	-282.67215541746316	110.4187636644088	1220.0	24543.924883127213	3476.6609761714935	472.32675583119584	20089.231384515762	978.0325224399567	779.4652439217919	877.0	16421200.0
16445600	1.5	13480.0	832258.7123342986	-287.86663889339934	33.83123235938782	1220.0	0.04013365344193622	23.91674478244948	-0.8897172139680133	0.09820025898218945	-0.031766467957047816	0.5157557680615859	12.22008260767511	0.04225485472682308	12.262337471576442	3.0338179126698916	-0.06258663860090237	95927.0	-408.5435801410162	2.450314411695067	1220.0	24580.813744068146	3482.6643393039703	472.21317927201517	20119.137429475784	979.0119752883911	779.4806873576513	876.0	16445600.0
16470000	1.5	13500.0	832307.6991840582	-388.09489499895193	2.449342487978761	1220.0	0.04684079976677682	20.348909604000372	0.016367363723668638	0.025872998374699235	0.001978572250066958	0.029224028742330554	4.5355705487812665	0.010782229955182637	4.546352785529819	1.1385667649566709	-0.06831190692828902	96068.0	-394.50366342584766	1.966267968512088	1220.0	24616.869426250458	3487.5939104557037	472.2453480212655	20148.945635318756	980.3298804759979	779.4872090000526	875.0	16470000.0
16494400	1.5	13520.0	832337.3744038427	-371.60948573901834	1.4837609892257688	1220.0	0.04694698496468873	20.300622409557334	0.0254258500075245	0.010174880483239753	0.0016713469458481056	0.011985129257385431	4.795835391004035	0.00563970252504929	4.801475091183441	1.2020401203251896	-0.07907063280172809	96256.0	-401.68979465450377	1.6760577755902433	1220.0	24651.50243616104	3492.5176916122437	472.27820891540637	20176.903954029083	982.0807905197144	779.5459091792891	874.0	16494400.0
16518800	1.5	13540.0	832370.5708436787	-378.3972948442665	1.6598219917985664	1220.0	0.046888675072694425	20.327111470939155	0.11592098943730615	0.028988894146521574	0.006794632785620489	0.08826236244033468	4.948047315820734	0.005861783637962441	4.953909095297471	1.2452719072078144	-0.08524768775764931	96350.0	-357.0203229121034	22.77424880822361	1220.0	24684.709769248962	3497.3647916316986	472.32133289399127	20204.33337497711	983.011602640152	779.6540820688383	873.0	16518800.0
16543200	1.5	13560.0	832563.4432353427	-340.135177681922	9.6436195832015	1220.0	0.04442243693901031	21.511146819183914	-0.3476050795709833	0.06559463709275773	-0.012527590751061177	0.10758061860341263	7.072649489057825	0.012130413977231115	7.084779891561956	1.7586673802517832	-0.08380170309163154	96397.0	-401.63563698524507	1.3761364335902557	1220.0	24717.990467071533	3502.3300337791443	472.34840350408876	20232.084286928177	983.576146364212	779.7636115084028	872.0	16543200.0
16567600	1.5	13580.0	832591.7073163041	-376.66046709129853	1.4132040480657995	1220.0	0.046945705619732464	20.30120288531087	0.1549894439175409	0.021826553056908254	0.008300751457201449	0.03265825923819571	4.82874783556512	0.006074466415621497	4.834822294559884	1.2170063219171887	-0.08077486509338336	96444.0	-402.99607335797486	1.4778702001625943	1220.0	24750.875027179718	3507.0876150131226	472.40336765689864	20259.651120901108	984.1362912654877	779.8797680733483	871.0	16567600.0
16592000	1.5	13600.0	832621.0739824579	-377.74697475124196	1.4683333076901453	1220.0	0.04692752265985873	20.309456440908367	-0.016883055818207714	0.017043455776342375	7.527207797669646e-06	0.03218909342738584	4.675088342199936	0.004418906332191792	4.679507230190522	1.1698843367556309	-0.08444092517837563	96538.0	-395.0693749649224	1.624854790767298	1220.0	24784.085851192474	3511.8433310985565	472.4584338108778	20287.194784879684	985.0477352142334	779.9835858549974	870.0	16592000.0
16616400	1.5	13620.0	832648.6579073108	-370.2304145502368	1.3791962426434408	1220.0	0.04694962144997654	20.29942625981492	-0.08302266031820722	0.01809583968443281	-0.0030482897130570444	0.032769574702004006	5.403092338683758	0.0025033368729054936	5.4055956881097025	1.348350622552507	-0.08860268491379757	96585.0	-417.6548782039326	3.2705699414257445	1220.0	24817.0060839653	3516.5008721351624	472.5265428388986	20314.89852166176	985.6066901683807	780.0941731077522	869.0	16616400.0
16640800	1.5	13640.0	832713.37178776	-397.3387633829734	3.235694022463251	1220.0	0.046341846955336816	20.578768773799123	-0.011879904413635432	0.02075696538915818	0.0004113793711525165	0.020477156835964863	4.184230563488414	0.006563193821150098	4.190793757743026	1.0481098148416967	-0.08975572907861243	96679.0	-414.5732597955322	2.859582051376543	1220.0	24850.151304244995	3521.4203963279724	472.55931207056415	20342.05447769165	986.6764302253723	780.205820582747	868.0	16640800.0
16665200	1.5	13660.0	832770.2787529456	-392.4642420159504	2.845348259278132	1220.0	0.04678521395103239	20.374274381787526	-0.0821373814598043	0.020671739995955153	-0.00287568305096514	0.03039564349579605	5.220956883531936	0.004852200836002667	5.225809082071833	1.3035765848261243	-0.09425114317143214	96726.0	-395.61775765040244	1.6292181581089897	1220.0	24890.171153068542	3526.3724644184113	472.5876284525865	20376.327100753784	987.471587896347	780.0672643884096	867.0	16665200.0
16689600	1.5	13680.0	832798.9128415734	-370.37076381671943	1.4317044313896994	1220.0	0.04694051566409334	20.3035580426088	-0.06165267677700266	0.054043123042805376	-0.0003571961974987169	0.08048056986955728	7.7153668048533985	0.0018904404107857738	7.717257256203512	1.9289571186329453	-0.0962917145262373	96820.0	-415.99909205257507	3.0807150226490507	1220.0	24922.162919044495	3530.932290315628	472.6683670988244	20402.772617816925	988.4580109119415	780.2075668141093	866.0	16689600.0
